task_index,question,agent_answer,correct_answer,is_correct
1,Members of which of the following groups are most likely to be surrounded by a protein coat?,A,A,True
2,Which of the following disorders will most likely result from X chromosome aneuploidy in women?,C,C,True
3,"The calypso orchid, Calypso bulbosa, grows in close association with mycorrhizae fungi. The fungi penetrate the roots of the flower and take advantage of the plant's food resources. The fungi concentrate rare minerals, such as phosphates, in the roots and make them readily accessible to the orchid. This situation is an example of",C,C,True
4,Which of the following about meiosis is NOT true?,C,C,True
5,"In cells, which of the following can catalyze reactions involving hydrogen peroxide, provide cellular energy, and make proteins, in that order?",A,A,True
6,"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following is likely to exhibit the process described earlier?",B,C,False
7,"African lungfish often live in small, stagnant, freshwater pools. With reduced gills, they differ from other fish in that they breathe air. They also differ in that they release the nitrogen waste urea instead of ammonia. Which of the following statements correctly explains how this is an advantage for lungfish?",D,B,False
8,"The first simple cells evolved approximately 3.5 billion years ago, followed by the more complex eukaryotic cells 2.1 billion years ago. Which of the following statements is correct?",A,A,True
9,"How long would it take a car, starting from rest and accelerating uniformly in a straight line at 5 m/s^2, to cover a distance of 200 m ?",B,A,False
10,The symbol for antimony is,B,B,True
11,"An artificial satellite orbits Earth just above the atmosphere in a circle with constant speed. A small meteor collides with the satellite at point P in its orbit, increasing its speed by 1%, but not changing the instantaneous direction of the satellite’s velocity. Which of the following describes the satellite’s new orbit?",C,B,False
12,Which of the following is a radioactive element?,C,C,True
13,"A car rounds a banked curve of uniform radius. Three forces act on the car: a friction force between the tires and the road, the normal force from the road, and the weight of the car. Which provides the centripetal force which keeps the car in circular motion?",D,D,True
14,Which of the following is considered a metalloid?,C,C,True
15,A sound wave with frequency f travels through air at speed v. With what speed will a sound wave with frequency 4f travel through the air?,B,B,True
